162,TIGER 미국S&P500,"12,135","

				20
				
","

				-0.16%
				
",0,"16,194","133,450",0.09,"724,098",N/A,N/A,
163,LS ELECTRIC,"51,300","

				100
				
","

				+0.20%
				
","5,000","15,390","30,000",12.50,"83,352",15.68,5.86,
164,한전KPS,"34,150","

				250
				
","

				+0.74%
				
",200,"15,368","45,000",5.57,"63,338",23.44,9.12,
165,롯데칠성,"164,500","

				2,000
				
","

				-1.20%
				
",500,"15,264","9,279",12.96,"31,554",13.88,9.96,
166,녹십자,"130,000","
0
","
0.00%
","5,000","15,192","11,687",22.11,"12,944",14.00,10.30,
167,현대백화점,"63,200","

				1,100
				
","

				-1.71%
				
","5,000","14,790","23,402",24.68,"40,810",7.04,4.36,
168,두산,"89,300","

				200
				
","

				+0.22%
				
","5,000","14,756","16,524",7.71,"84,510",-18.04,11.08,
169,DL이앤씨,"38,050","

				1,450
				
","

				+3.96%
				
","5,000","14,723","38,694",21.62,"223,604",3.38,N/A,
170,현대두산인프라코어,"7,390","

				90
				
","

				-1.20%
				
","1,000","14,615","197,763",12.83,"1,685,362",3.18,24.63,
171,효성,"69,100","

				300
				
","

				+0.44%
				
","5,000","14,560","21,071",4.47,"19,237",12.52,18.04,
172,롯데정밀화학,"56,300","

				400
				
","

				+0.72%
				
","5,000","14,525","25,800",19.98,"19,577",4.73,30.43,
173,현대위아,"52,200","

				300
				
","

				+0.58%
				
","5,000","14,196","27,195",10.68,"98,074",6.93,1.96,
174,TIGER 미국필라델피아반도체나스닥,"9,100","

				130
				
","

				-1.41%
				
",0,"14,182","155,850",0.16,"671,844",N/A,N/A,
175,SK케미칼,"80,500","
0
","
0.00%
","5,000","13,889","17,254",14.91,"64,926",7.55,11.19,
176,금양,"23,050","

				250
				
","

				+1.10%
				
",500,"13,381","58,050",2.14,"844,420",76.07,13.57,
177,DGB금융지주,"7,780","

				190
				
","

				+2.50%
				
","5,000","13,160","169,146",44.73,"466,567",2.74,9.63,
178,LX인터내셔널,"33,950","

				200
				
","

				+0.59%
				
","5,000","13,159","38,760",30.44,"220,647",2.22,22.49,
179,현대일렉트릭,"36,500","

				600
				
","

				-1.62%
				
","5,000","13,157","36,047",14.64,"242,736",26.80,-5.08,
180,DL,"62,700","

				1,100
				
","

				+1.79%
				
","5,000","13,139","20,956",10.03,"68,870",35.40,26.52,
181,동국제강,"13,700","

				350
				
","

				+2.62%
				
","5,000","13,074","95,433",25.36,"224,648",1.79,23.41,
182,제주항공,"16,750","

				350
				
","

				+2.13%
				
","1,000","12,896","76,994",2.07,"659,486",-4.01,-135.83,
183,한국앤컴퍼니,"13,500","

				100
				
","

				-0.74%
				
",500,"12,816","94,935",9.02,"34,500",5.35,5.53,
184,한미반도체,"13,100","

				200
				
","

				-1.50%
				
",100,"12,751","97,339",5.10,"269,810",10.38,34.59,
185,TIGER 미국테크TOP10 INDXX,"8,380","

				70
				
","

				+0.84%
				
",0,"12,738","152,000",0.14,"310,624",N/A,N/A,
186,솔루스첨단소재,"36,000","

				300
				
","

				-0.83%
				
",100,"12,640","35,111",5.27,"95,002",-818.18,4.00,
187,LX세미콘,"77,300","

				200
				
","

				-0.26%
				
",500,"12,572","16,264",28.23,"54,115",4.34,44.49,
188,GKL,"20,300","

				400
				
","

				+2.01%
				
",500,"12,557","61,856",5.49,"742,051",-26.06,-26.04,
189,현대엘리베이,"30,550","

				650
				
","

				+2.17%
				
","5,000","12,469","40,815",29.28,"163,765",8.70,10.62,
190,한샘,"52,300","

				400
				
","

				+0.77%
				
","1,000","12,308","23,534",14.64,"40,814",184.81,9.10,
191,덴티움,"110,500","

				2,000
				
","

				+1.84%
				
",500,"12,231","11,069",24.76,"185,779",12.89,21.29,
192,코오롱인더,"44,400","

				300
				
","

				+0.68%
				
","5,000","12,218","27,519",18.07,"58,147",8.12,8.20,
193,KODEX 삼성그룹,"8,890","

				25
				
","

				+0.28%
				
",0,"12,215","137,400",0.03,"98,937",N/A,N/A,
194,KBSTAR 200,"32,190","

				200
				
","

				+0.63%
				
",0,"12,184","37,850",0.02,"129,478",N/A,N/A,
195,동원시스템즈,"41,150","

				150
				
","

				+0.37%
				
","5,000","11,930","28,991",13.46,"11,357",25.50,6.95,
196,영풍,"640,000","

				12,000
				
","

				+1.91%
				
","5,000","11,789","1,842",5.23,"2,692",5.25,3.66,
197,TIGER 2차전지테마,"17,900","

				250
				
","

				+1.42%
				
",0,"11,733","65,550",0.08,"332,839",N/A,N/A,
198,F&F홀딩스,"29,950","
0
","
0.00%
",500,"11,715","39,114",0.25,"138,219",9.86,153.88,
199,대웅,"19,950","

				50
				
","

				-0.25%
				
",500,"11,599","58,142",4.73,"42,182",9.30,11.13,
200,아시아나항공,"15,550","

				100
				
","

				+0.65%
				
","5,000","11,571","74,412",8.31,"577,884",-6.21,-47.21,
